codigo;descricao;porte;ch;co
85400165;Coroa total metalo plástica - cerômero;;;
85400157;Coroa total metalo cerâmica;;;
85400149;Coroa total metálica ;;;
85400130;Coroa total livre de metal (metalfree) sobre implante - cerômero;;;
85400122;Coroa total livre de metal (metalfree) sobre implante - cerâmica;;;
85400114;Coroa total em cerômero;;;
85400106;Coroa total em cerâmica pura ;;;
85400092;Coroa total acrílica prensada;;;
85400084;Coroa provisória sem pino;;;
85400076;Coroa provisória com pino;;;
85400068;Conserto em prótese total (exclusivamente em consultório) ;;;
85400050;Conserto em prótese total (em consultório e em laboratório) ;;;
85400041;Conserto em prótese parcial removível (exclusivamente em consultório) ;;;
85400033;Conserto em prótese parcial removível (em consultório e em laboratório) ;;;
85400025;Ajuste Oclusal por desgaste seletivo;;;
85400017;Ajuste Oclusal por acréscimo;;;
85300101;Tracionamento de raiz residual;;;
85300098;Manutenção periodontal;;;
85300080;Tratamento de pericoronarite;;;
85300071;Tratamento de gengivite necrosante aguda - GNA;;;
85300063;Tratamento de abscesso periodontal agudo;;;
85300055;Remoção dos fatores de retenção do Biofilme Dental (Placa Bacteriana);;;
85300047;Raspagem supra-gengival;;;
85300039;Raspagem sub-gengival/alisamento radicular ;;;
85300020;Imobilização dentária em dentes permanentes;;;
85300012;Dessensibilização dentária;;;
85200182;Curetagem apical;;;
85200174;Curativo endodôntico em situação de urgência;;;
85200166;Tratamento endodôntico unirradicular;;;
85200158;Tratamento endodôntico multirradicular;;;
85200140;Tratamento endodôntico birradicular;;;
85200131;Tratamento endodôndico de dente com rizogênese incompleta;;;
85200123;Tratamento de perfuração endodôntica;;;
85200115;Retratamento endodôntico unirradicular;;;
85200107;Retratamento endodôntico multirradicular;;;
85200093;Retratamento endodôntico birradicular;;;
85200085;Restauração temporária / tratamento expectante;;;
85200077;Remoção de núcleo intrarradicular;;;
85200069;Remoção de material obturador intracanal para retratamento endodôntico;;;
85200050;Remoção de corpo estranho intracanal;;;
85200042;Pulpotomia;;;
85200034;Pulpectomia;;;
85200026;Preparo para núcleo intrarradicular;;;
85200018;Clareamento de dente desvitalizado ;;;
85100269;Dessensibilização dentinária;;;
85100250;Aplicação de laser terapêutico;;;
85100242;Adequação do meio bucal;;;
85100234;Tratamento de fluorose - microabrasão;;;
85100226;Restauração em resina fotopolimerizável  4 faces;;;
85100218;Restauração em resina fotopolimerizável  3 faces;;;
85100200;Restauração em resina fotopolimerizável  2 faces;;;
85100196;Restauração em resina fotopolimerizável  1 face;;;
85100170;Restauração em resina (indireta) - Inlay;;;
85100161;Restauração em ionômero de vidro - 4 faces;;;
85100153;Restauração em ionômero de vidro - 3 faces;;;
85100145;Restauração em ionômero de vidro - 2 faces ;;;
85100137;Restauração em ionômero de vidro - 1 face;;;
85100129;Restauração de amálgama - 4 faces;;;
85100110;Restauração de amálgama - 3 faces;;;
85100102;Restauração de amálgama - 2 faces;;;
85100099;Restauração de amálgama  - 1 face;;;
85100080;Restauração atraumática em dente permanente;;;
85100072;Placa de Acetato para Clareamento Caseiro;;;
85100064;Faceta direta em resina fotopolimerizável;;;
85100056;Curativo de demora em endodontia;;;
85100048;Colagem de fragmentos dentários;;;
85100030;Clareamento dentário de consultório ;;;
85100021;Clareamento dentário caseiro;;;
85100013;Capeamento pulpar direto;;;
85000787;Imobilização dentária em dentes decíduos;;;
84000252;Teste de PH salivar;;;
84000236;Teste de contagem microbiológica;;;
84000228;Teste de capacidade tampão da saliva;;;
84000201;Remineralização;;;
84000198;Profilaxia: polimento coronário;;;
84000171;Controle de cárie incipiente;;;
84000163;Controle de biofilme (placa bacteriana);;;
84000139;Atividade educativa em saúde bucal ;;;
84000112;Aplicação tópica de verniz fluoretado;;;
84000090;Aplicação tópica de flúor;;;
84000074;Aplicação de selante de fóssulas e fissuras;;;
84000058;Aplicação de selante - técnica invasiva;;;
84000031;Aplicação de cariostático;;;
84000015;Aparelho protetor bucal;;;
83000151;Tratamento endodôntico em dente decíduo ;;;
83000135;Restauração atraumática em dente decíduo;;;
83000127;Pulpotomia em dente decíduo;;;
83000100;Mantenedor de espaço removível;;;
83000097;Mantenedor de espaço fixo;;;
83000089;Exodontia simples de decíduo;;;
83000062;Coroa de policarbonato em dente decíduo;;;
83000046;Coroa de aço em dente decíduo;;;
83000020;Coroa de acetato em dente decíduo;;;
82001766;Placa de contenção cirúrgica;;;
82001758;Marsupialização de cistos odontológicos;;;
82001740;Exodontia de incluso/impactado supra numerário;;;
82001731;Exodontia de semi-incluso/impactado supra numerário;;;
82001723;Aplicação de laser pós cirúrgico;;;
82001715;Ulotomia ;;;
82001707;Ulectomia;;;
82001685;Tunelização;;;
82001669;Tratamento odontológico regenerativo com enxerto de osso autógeno;;;
82001650;Tratamento de alveolite ;;;
82001642;Tratamento conservador de luxação da articulação têmporo-mandibular - ATM ;;;
82001634;Tratamento Cirúrgico para tumores odontogênicos benignos - sem reconstrução;;;
82001618;Tratamento cirúrgico dos tumores benignos de tecidos moles na região buco-maxilo-facial;;;
82001596;Tratamento cirúrgico de tumores benignos de tecidos ósseos/cartilaginosos na região buco-maxilo-facial ;;;
82001588;Tratamento cirúrgico de hiperplasias de tecidos ósseos/cartilaginosos na região buco-maxilo-facial;;;
82001553;Tratamento cirúrgico de hiperplasias de tecidos moles na região buco-maxilo-facial;;;
82001545;Tratamento cirúrgico de bridas constritivas da região buco-maxilo-facial ;;;
82001529;Tratamento cirúrgico das fístulas buco sinusal;;;
82001510;Tratamento cirúrgico das fístulas buco nasal ;;;
82001502;Tracionamento cirúrgico com finalidade ortodôntica;;;
82001499;Sutura de ferida em região buco-maxilo-facial;;;
82001464;Sepultamento radicular;;;
82001456;Sedação medicamentosa ambulatorial em odontologia;;;
82001448;Sedação consciente com óxido nitroso e oxigênio em odontologia;;;
82001430;Retirada dos meios de fixação da região buco-maxilo-facial;;;
82001413;Retirada de corpo estranho subcutâneo ou submucoso da região buco-maxilo-facial;;;
82001391;Retirada de corpo estranho oroantral ou oronasal da região buco-maxilo-facial;;;
82001375;Remoção de tamponamento nasal;;;
82001367;Remoção de odontoma;;;
82001332;Remoção de implante dentário ósseo integrado no seio maxilar;;;
82001324;Remoção de implante dentário não ósseo integrado;;;
82001316;Remoção de dreno intra-oral;;;
82001308;Remoção de dreno extra-oral;;;
82001294;Remoção de dentes semi-inclusos / impactados;;;
82001286;Remoção de dentes inclusos / impactados;;;
82001251;Reimplante dentário com contenção;;;
82001243;Regeneração tecidual guiada - RTG;;;
82001235;Reeducação e/ou reabilitação de sequela em traumatismo buco-maxilo-facial ;;;
82001219;Reeducação e/ou reabilitação de distúrbio buco-maxilo-facial;;;
82001197;Redução simples de luxação de Articulação Têmporo-mandibular (ATM) ;;;
82001189;Redução incruenta de fratura alvéolo dentária;;;
82001170;Redução cruenta de fratura alvéolo dentária;;;
82001138;Reabertura - colocação de cicatrizador;;;
82001120;Punção aspirativa orientada por imagem na região buco-maxilo-facial;;;
82001103;Punção aspirativa na região buco-maxilo-facial;;;
82001073;Odonto-secção;;;
82001065;Levantamento do seio maxilar com osso liofilizado;;;
82001057;Levantamento do seio maxilar com osso homólogo;;;
82001049;Levantamento do seio maxilar com osso autógeno;;;
82001030;Incisão e Drenagem intra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;;;
82001022;Incisão e Drenagem extra-oral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;;;
82001006;Implante Zigomático ;;;
82000980;Implante ósseo integrado ;;;
82000964;Implante ortodôntico ;;;
82000948;Gengivoplastia;;;
82000921;Gengivectomia;;;
82000913;Frenulotomia lingual;;;
82000905;Frenulotomia labial ;;;
82000891;Frenulectomia lingual;;;
82000883;Frenulectomia labial ;;;
82000875;Exodontia simples de permanente;;;
82000859;Exodontia de raiz residual;;;
82000832;Exodontia de permanente por indicação ortodôntica/protética;;;
82000816;Exodontia a retalho;;;
82000808;Exérese ou excisão de rânula ;;;
82000794;Exérese ou excisão de mucocele;;;
82000786;Exérese ou excisão de cistos odontológicos ;;;
82000778;Exérese ou excisão de cálculo salivar;;;
82000743;Exérese de lipoma na região buco-maxilo-facial;;;
82000700;Estabilização de paciente por meio de contenção física e/ou mecânica ;;;
82000689;Enxerto pediculado;;;
82000662;Enxerto gengival livre;;;
82000646;Enxerto conjuntivo subepitelial;;;
82000620;Enxerto com osso liofilizado;;;
82000603;Enxerto com osso autógeno do mento;;;
82000581;Enxerto com osso autógeno da linha oblíqua;;;
82000557;Cunha proximal ;;;
82000549;Crioterapia ou termoterapia em odontologia;;;
82000522;Criocirurgia de neoplasias da região buco-maxilo-facial ;;;
82000506;Controle pós-operatório em odontologia;;;
82000484;Controle de hemorragia sem aplicação de agente hemostático em região buco-maxilo-facial;;;
82000468;Controle de hemorragia com aplicação de agente hemostático em região buco-maxilo-facial;;;
82000441;Coleta de raspado em lesões ou sítios específicos da região buco-maxilo-facial;;;
82000417;Cirurgia periodontal a retalho;;;
82000395;Cirurgia para torus palatino;;;
82000387;Cirurgia para torus mandibular - unilateral ;;;
82000360;Cirurgia para torus mandibular - bilateral;;;
82000352;Cirurgia para exostose maxilar ;;;
82000344;Cirurgia odontológica com aplicação de aloenxertos;;;
82000336;Cirurgia odontológica a retalho;;;
82000301;Bridotomia;;;
82000298;Bridectomia ;;;
82000280;Biópsia de maxila;;;
82000212;Aumento de coroa clínica;;;
82000190;Aprofundamento/aumento de vestíbulo;;;
82000182;Apicetomia unirradiculares sem obturação retrógrada;;;
82000174;Apicetomia unirradiculares com obturação retrógrada;;;
82000166;Apicetomia multirradiculares sem obturação retrógrada;;;
82000158;Apicetomia multirradiculares com obturação retrógrada;;;
82000085;Apicetomia birradiculares sem obturação retrógrada;;;
82000077;Apicetomia birradiculares com obturação retrógrada;;;
